Row Labels,Count of winner,,,,,,,,,
Capitals,33,,Row Labels,Count of toss_winner,,,,,,
Chargers,29,,5,1,,Row Labels,Count of winner,,Row Labels,Count of man_of_the_match
Daredevils,67,,8 (1 nb),1,,Capitals,33,,5.07,1
Guj,13,,Chennai Super Kings,109,,Chargers,29,,"16.00 start, First Session 16.00-17.30, Interval 17.30-17.50, Second Session 17.50-19.20",1
Kings,85,,Deccan Chargers,43,,Daredevils,67,,"20.00 start, First Session 20.00-21.30, Interval 21.30-21.50, Second Session 21.50- 23.20",1
KKR,113,,Delhi Capitals,36,,Guj,13,,9 (1 nb),1
Kochi,6,,Delhi Daredevils,79,,Kings,85,,Aaron Finch,5
Match,7,,Gujarat Lions,15,,KKR,113,,AB de Villiers,25
Mumbai,129,,Gujarat Titans,10,,Kochi,6,,Abhishek Jhunjhunwala,1
No,5,,Kings XI Punjab,85,,Match,7,,Abhishek Sharma,1
Punjab,13,,Kochi Tuskers Kerala,8,,Mumbai,129,,Adam Gilchrist,7
RCB,107,,Kolkata Knight Riders,114,,No,5,,Adam Voges,1
Royals,94,,Lucknow Super Giants,7,,Punjab,13,,Adam Zampa,1
Sunrisers,74,,Mumbai Indians,123,,RCB,107,,Aditya Tare,1
Super,130,,Pune Warriors,20,,Royals,94,,Ajinkya Rahane,12
Supergiant,10,,Punjab Kings,9,,Sunrisers,74,,Ajit  Chandila,1
Supergiants,5,,Rajasthan Royals,98,,Super,130,,Albie Morkel,2
Tied,14,,Rising Pune Supergiant,6,,Supergiant,10,,Alzarri Joseph,1
Titans,12,,Rising Pune Supergiants,7,,Supergiants,5,,Ambati Rayudu,10
Warriors,12,,Royal Challengers Bangalore,105,,Tied,14,,Amit Mishra,12
Grand Total,958,,Sunrisers Hyderabad,74,,Titans,12,,Amit Singh,1
,,,(blank),,,Warriors,12,,Andre Russell,12
,,,Grand Total,950,,Grand Total,958,,Andrew Symonds,3
,,,,,,,,,Andrew Tye,2
,,,,,,,,,Angelo Mathews,1
,,,,,,,,,Anil Kumble,3
,,,,,,,,,Ankit Rajpoot,2
,,,,,,,,,Anrich Nortje,3
,,,,,,,,,Anuj Rawat,1
,,,,,,,,,Ashish Nehra,6
,,,,,,,,,Ashok Dinda,2
,,,,,,,,,Avesh Khan,2
,,,,,,,,,Axar Patel,7
,,,,,,,,,Azhar Mahmood,2
,,,,,,,,,Ben Cutting,1
,,,,,,,,,Ben Hilfenhaus,2
,,,,,,,,,Ben Stokes,5
,,,,,,,,,Bhargav Bhatt,1
,,,,,,,,,Bhuvneshwar Kumar,5
,,,,,,,,,Billy Stanlake,1
,,,,,,,,,Brad Hodge,6
,,,,,,,,,Brendon McCullum,5
,,,,,,,,,Brett Lee,2
,,,,,,,,,Cameron White,1
,,,,,,,,,Carlos Brathwaite,1
,,,,,,,,,Chaminda Vaas,1
,,,,,,,,,Chris Gayle,22
,,,,,,,,,Chris Jordan,1
,,,,,,,,,Chris Lynn,4
,,,,,,,,,Chris Morris,3
,,,,,,,,,Corey Anderson,3
,,,,,,,,,Dale Steyn,5
,,,,,,,,,Daniel Sams,1
,,,,,,,,,Daniel Vettori,1
,,,,,,,,,Daren Sammy,1
,,,,,,,,,David Hussey,2
,,,,,,,,,David Miller,5
,,,,,,,,,David Warner,18
,,,,,,,,,Deepak Chahar,2
,,,,,,,,,Deepak Hooda,1
,,,,,,,,,Devdutt Padikkal,1
,,,,,,,,,Devon Conway,1
,,,,,,,,,Dilhara Fernando,1
,,,,,,,,,Dimitri Mascarenhas,1
,,,,,,,,,Dinesh Karthik,7
