UserID,Date,Day,WorkoutType,Duration_Minutes,Calories_Burned
U0328,29-01-2024,Monday,Running,55,425
U0045,31-05-2024,Friday,Strength,24,319
U0288,20-02-2024,Tuesday,Walking,89,101
U0389,10-02-2024,Saturday,Walking,74,186
U0053,24-01-2024,Wednesday,Strength,32,335
U0374,27-04-2024,Saturday,HIIT,35,774
U0296,19-02-2024,Monday,Walking,28,159
U0444,26-01-2024,Friday,Strength,55,283
U0108,20-06-2024,Thursday,Yoga,29,163
U0084,28-04-2024,Sunday,Strength,54,366
U0118,09-01-2024,Tuesday,Yoga,71,174
U0109,16-06-2024,Sunday,Strength,70,335
U0382,23-05-2024,Thursday,HIIT,53,554
U0113,05-02-2024,Monday,HIIT,83,671
U0406,23-06-2024,Sunday,Strength,28,439
U0498,21-05-2024,Tuesday,Running,34,649
U0223,10-02-2024,Saturday,Strength,20,291
U0446,09-06-2024,Sunday,Yoga,84,159
U0277,15-05-2024,Wednesday,Running,61,550
U0123,15-01-2024,Monday,Cycling,30,498
U0066,17-06-2024,Monday,Strength,90,416
U0387,25-06-2024,Tuesday,Cycling,59,593
U0232,31-01-2024,Wednesday,Cycling,48,423
U0113,02-01-2024,Tuesday,Running,27,417
U0122,12-03-2024,Tuesday,Walking,82,221
U0125,01-05-2024,Wednesday,Strength,44,420
U0211,29-04-2024,Monday,Walking,26,203
U0373,27-03-2024,Wednesday,Running,51,398
U0094,12-03-2024,Tuesday,Strength,51,250
U0429,04-01-2024,Thursday,Running,50,385
U0463,16-01-2024,Tuesday,Cycling,68,449
U0357,22-05-2024,Wednesday,Walking,82,248
U0377,18-05-2024,Saturday,Running,60,329
U0081,15-01-2024,Monday,HIIT,30,695
U0207,31-01-2024,Wednesday,HIIT,51,564
U0290,13-05-2024,Monday,Yoga,53,200
U0068,20-06-2024,Thursday,Walking,58,244
U0052,19-01-2024,Friday,HIIT,47,385
U0190,13-03-2024,Wednesday,Cycling,76,404
U0154,18-06-2024,Tuesday,Running,37,435
U0145,03-06-2024,Monday,Cycling,63,574
U0464,14-01-2024,Sunday,Running,74,441
U0327,08-03-2024,Friday,Cycling,76,468
U0484,25-06-2024,Tuesday,Cycling,89,439
U0066,11-01-2024,Thursday,Yoga,66,173
U0182,23-05-2024,Thursday,Strength,39,411
U0378,26-03-2024,Tuesday,Strength,51,255
U0440,30-04-2024,Tuesday,Cycling,45,429
U0338,19-02-2024,Monday,Strength,62,379
